period,height,median,mean,std,count,min,max,variable,tower
whole_period,030m,5.5,7.141157276451331,5.9198735080587355,174375,0.0,111.5,PkWSpdMph,TOWB
whole_period,015m,5.400000095367432,6.935799320955647,5.526711486220846,187065,0.0,111.9000015258789,PkWSpdMph,TOWD
whole_period,035m,6.599999904632568,8.001077608927563,6.021272085582481,205362,0.0,115.0,PkWSpdMph,TOWD
whole_period,060m,7.800000190734863,9.341846973878107,6.676571261412396,208763,0.0,115.0,PkWSpdMph,TOWD
whole_period,010m,6.800000190734863,7.9887812256112865,4.580688649353038,175233,0.0,53.0,PkWSpdMph,TOWF
whole_period,025m,9.699999809265137,10.963606054561993,6.29919662061078,209947,0.20000000298023224,74.19999694824219,PkWSpdMph,TOWS
whole_period,015m,7.099999904632568,8.121860056547604,5.401967636343188,209972,0.0,52.900001525878906,PkWSpdMph,TOWY
whole_period,033m,7.800000190734863,8.771678183114012,5.816640775617601,210096,0.0,62.5,PkWSpdMph,TOWY
whole_period,015m,-0.05000000074505806,-0.06693285858369624,0.229126082179206,207268,-3.0,2.180000066757202,VSSpdMph,TOWA
whole_period,030m,0.019999999552965164,0.010518252607604613,0.2917289757157371,203916,-2.5999999046325684,2.9700000286102295,VSSpdMph,TOWA
whole_period,015m,0.009999999776482582,-0.0025662946835268196,0.17973557273915314,166341,-2.1500000953674316,2.9700000286102295,VSSpdMph,TOWB
whole_period,030m,-0.05999999865889549,-0.14592165166090412,0.2598580203440271,159572,-2.569999933242798,1.600000023841858,VSSpdMph,TOWB
whole_period,015m,-0.022369999438524246,-0.07156515300839233,0.21302032218409883,177724,-2.6172900199890137,2.058040142059326,VSSpdMph,TOWD
whole_period,060m,-0.022369999438524246,-0.06715594719890272,0.3637846988019753,176758,-2.975210189819336,2.997580051422119,VSSpdMph,TOWD
whole_period,010m,-0.019999999552965164,0.06109237888095635,0.5021325581506566,124563,-2.990000009536743,3.0,VSSpdMph,TOWF
whole_period,025m,0.008999999612569809,0.06147487815428864,0.4227621289685598,209917,-2.313999891281128,2.890000104904175,VSSpdMph,TOWS
whole_period,015m,-0.07000000029802322,-0.11148847633852892,0.2392198848192392,209832,-1.9199999570846558,2.7300000190734863,VSSpdMph,TOWY
whole_period,033m,-0.013000000268220901,-0.04579217746146083,0.30334183634231765,209881,-2.569000005722046,2.4769999980926514,VSSpdMph,TOWY
whole_period,015m,986.9000244140625,986.9434079642364,5.427676302611415,205930,965.2000122070312,1008.7000122070312,BarPresMb,TOWA
whole_period,015m,988.7000122070312,988.8464674228129,5.631640443886502,203816,965.2000122070312,1011.2000122070312,BarPresMb,TOWB
whole_period,002m,987.0,987.1668297738796,5.508065257267497,203746,965.2000122070312,1010.0999755859375,BarPresMb,TOWD
whole_period,015m,987.0,987.1670127386872,5.508233732816848,203712,965.2000122070312,1010.0999755859375,BarPresMb,TOWD
whole_period,010m,984.4000244140625,984.2748306832817,2.885575059123635,166769,970.2000122070312,994.2999877929688,BarPresMb,TOWF
whole_period,015m,983.9451904296875,984.089464006556,5.425664306535484,209637,965.1508178710938,1006.1259765625,BarPresMb,TOWY
whole_period,015m,31.600000381469727,36.10998242931989,18.693689993776253,207194,3.0999999046325684,103.80000305175781,Sigma,TOWA
whole_period,030m,21.700000762939453,26.611292024341612,17.528615915674912,207040,0.10000000149011612,103.69999694824219,Sigma,TOWA
whole_period,015m,27.899999618530273,33.54777084851267,18.88036743052435,181123,0.10000000149011612,103.80000305175781,Sigma,TOWB
whole_period,030m,20.899999618530273,26.325167303016425,17.70993611053635,183500,0.10000000149011612,103.69999694824219,Sigma,TOWB
whole_period,015m,27.399999618530273,32.50198885190929,18.129673785482673,203182,0.10000000149011612,103.69999694824219,Sigma,TOWD
whole_period,035m,18.0,22.473523240351355,16.211127736546626,204383,0.10000000149011612,103.4000015258789,Sigma,TOWD
whole_period,060m,14.300000190734863,18.713728401489895,14.959769233239815,208371,0.10000000149011612,103.0999984741211,Sigma,TOWD
whole_period,010m,18.399999618530273,24.175752231958352,16.615273053384918,175744,0.10000000149011612,103.5,Sigma,TOWF
whole_period,025m,12.800000190734863,16.95452839553897,13.680919042138683,209953,0.10000000149011612,103.5999984741211,Sigma,TOWS
